Age Category,Sex,Belt,Weight Division,Place,Name ,Academy
Master 3,Male,Purple,Feather,2,Matthew Barajas,GRACIE HUMAITA
Master 3,Male,Purple,Feather,3,J. David Thomas,ARES BJJ
Master 3,Male,Purple,Feather,3,Taiki Inaba,TRI-FORCE GOTANDA
Master 3,Male,Purple,Light,1,Roberto Antonio Trejo,GUERRILLA JIU JITSU
Master 3,Male,Purple,Light,2,Quoc Lap Tony Chau,R1NG BJJ
Master 3,Male,Purple,Light,3,Christopher David Cardillo,ALLIANCE
Master 3,Male,Purple,Light,3,Gary Atud,UFC GYM
Master 3,Male,Purple,Middle,1,Matthew Branscum,CHECKMAT
Master 3,Male,Purple,Middle,2,George Alfred Beischl,RODRIGO FREITAS BRAZILIAN JIU-JITSU
Master 3,Male,Purple,Middle,3,Enkhtuvshin Batchuluun,MONGOLIAN BJJ
Master 3,Male,Purple,Middle,3,Ferhayn Gambrah,ALLIANCE
Master 3,Male,Purple,Medium-Heavy,1,Joshua Carl Wilson,ATOS JIU-JITSU
Master 3,Male,Purple,Medium-Heavy,2,Mark Preston Lobwein,LEGACY
Master 3,Male,Purple,Medium-Heavy,3,Jose A. Madrazo,ATOS JIU-JITSU
Master 3,Male,Purple,Medium-Heavy,3,Joseph Earl Pistole,CARLSON GRACIE TEAM
Master 3,Male,Purple,Heavy,1,Antonio Domingo González Castilla,LILIUS BARNATT MARTIAL ARTS
Master 3,Male,Purple,Heavy,2,Estefano E Isaias,GRACIE ELITE TEAM
Master 3,Male,Purple,Heavy,3,David Rodriguez,GRACIE BARRA
Master 3,Male,Purple,Heavy,3,Patrick Banaise Blake,LEAD BJJ
Master 3,Male,Purple,Super-Heavy,1,Denis Grigoriev,PHUKET TOP TEAM
Master 3,Male,Purple,Super-Heavy,2,Leonardo Pires,BRAZILIAN TOP TEAM
Master 3,Male,Purple,Super-Heavy,3,Shawn Orlando Faison,GRACIE ALLEGIANCE
Master 3,Male,Purple,Super-Heavy,3,Tyler J Bailey,CARLSON GRACIE TEAM
Master 3,Male,Purple,Ultra-Heavy,1,Dominic Girard,BRAZILIAN TOP TEAM
Master 3,Male,Purple,Ultra-Heavy,2,Robert Lawrence MacDonald,CARLSON GRACIE TEAM
Master 3,Male,Purple,Ultra-Heavy,3,Julio Diaz,RIBEIRO JIU-JITSU
Master 3,Male,Purple,Ultra-Heavy,3,Marco Martinez,CARLSON GRACIE TEAM
Master 3,Male,Purple,Open Class,1,Robert Lawrence MacDonald,CARLSON GRACIE TEAM
Master 3,Male,Purple,Open Class,2,Jose A. Madrazo,ATOS JIU-JITSU
Master 3,Male,Purple,Open Class,3,David Rodriguez,GRACIE BARRA
Master 3,Male,Purple,Open Class,3,Marco Martinez,CARLSON GRACIE TEAM
Master 3,Female,Purple,Rooster,1,Rachna Grunkemeier,CASCADE JIU-JITSU
Master 3,Female,Purple,Rooster,2,Jade Tomelden,ALLIANCE
Master 3,Female,Purple,Rooster,3,Ann Domingo,SF EMPIRE JIU-JITSU
Master 3,Female,Purple,Light-Feather,1,Sylvia Ahn,LEAD BJJ
Master 3,Female,Purple,Light-Feather,2,Kristi Russell,RODRIGO VAGHI BJJ
Master 3,Female,Purple,Light-Feather,3,Naarah Hastings,T3MA
Master 3,Female,Purple,Light-Feather,3,Tina Baba,INVERSE
Master 3,Female,Purple,Feather,1,Miyo Strong,UNIFIED JIU JITSU
Master 3,Female,Purple,Feather,2,Brigitte Mondaca,FRONTLINE ACADEMY
Master 3,Female,Purple,Feather,3,Aislana Duarte de Rose,LOTUS CETEPE TORRES
Master 3,Female,Purple,Feather,3,Lora Heaps,ZINGANO BRAZILIAN JIU-JITSU
Master 3,Female,Purple,Light,1,Leona Mansapit,TEAM LLOYD IRVIN
Master 3,Female,Purple,Light,2,Marcia Yamada Palomba,CARLSON GRACIE TEAM
Master 3,Female,Purple,Light,3,Pilar Tapia,LEO DALLA BJJ
Master 3,Female,Purple,Light,3,Rachel Ervin,CASCAO JIU-JITSU
Master 3,Female,Purple,Middle,1,Mirella Atallah,BRAZILIAN TOP TEAM
Master 3,Female,Purple,Middle,2,Melissa Lozano,RIBEIRO JIU-JITSU
Master 3,Female,Purple,Middle,3,Jasmine Choksi,LEAD BJJ
Master 3,Female,Purple,Middle,3,Trinity Williams,LEAD BJJ
Master 3,Female,Purple,Medium-Heavy,1,Amanda Magda de Oliveira,LR EXTREME
Master 3,Female,Purple,Medium-Heavy,2,Beth Simione Bahret,FENIX BJJ WOBURN
Master 3,Female,Purple,Medium-Heavy,3,Michelle Pepin,ZENITH BJJ
Master 3,Female,Purple,Medium-Heavy,3,Stacey Ann Councilman,INFINITE JIU JITSU
Master 3,Female,Purple,Heavy,1,Lauren Lamb,TEAM ROBSON MOURA
Master 3,Female,Purple,Heavy,2,Christy Leasure,GRACIE BARRA
Master 3,Female,Purple,Heavy,3,Anne Garrido Quintanilla,CAVEIRINHA JIU-JITSU FAMILY USA
Master 3,Female,Purple,Super-Heavy,1,Cari Jacobs,GF TEAM
Master 3,Female,Purple,Super-Heavy,2,Shannon Marcetic,JIU-JITSU FOR LIFE TEAM
Master 3,Female,Purple,Open Class,1,Amanda Magda de Oliveira,LR EXTREME
Master 3,Female,Purple,Open Class,2,Cari Jacobs,GF TEAM
Master 3,Male,Brown,Rooster,1,dai ibaraki,DRAGON'S DEN
Master 3,Male,Brown,Rooster,2,Shawn Suga,CHRIS ATKINS JIU-JITSU
Master 3,Male,Brown,Light-Feather,1,David Allen Parker,ATOS JIU-JITSU
Master 3,Male,Brown,Light-Feather,2,Kristopher Sakamoto,CASCAO JIU-JITSU
Master 3,Male,Brown,Light-Feather,3,Michael Emmanuel Munoz,SF EMPIRE JIU-JITSU
Master 3,Male,Brown,Light-Feather,3,Robin Victor Opalia,ATOS JIU-JITSU
Master 3,Male,Brown,Feather,1,Marcelo Ricardo Reis Pagliuso,CHECKMAT
Master 3,Male,Brown,Feather,2,Brian Rafat,CICERO COSTHA INTERNACIONAL
Master 3,Male,Brown,Feather,3,Damion Taylor,TRAVIS LUTTER BRAZILIAN JIU-JITSU
Master 3,Male,Brown,Feather,3,Stephen Dalkert,RCJ MACHADO
Master 3,Male,Brown,Light,1,Nelson Medina,CHECKMAT
Master 3,Male,Brown,Light,2,Justin Nero,RALPH GRACIE JIU-JITSU BERKELEY
Master 3,Male,Brown,Light,3,Daniel fry,R1NG BJJ
Master 3,Male,Brown,Light,3,Scott Lowder,R1NG BJJ
Master 3,Male,Brown,Middle,1,Matt James Hoidal,IMPACT JIU JITSU
Master 3,Male,Brown,Middle,2,Jason R. Friesen,ALLIANCE
Master 3,Male,Brown,Middle,3,Aleksandr Jones,ALLIANCE
Master 3,Male,Brown,Middle,3,Alton Deon Moss Jr.,SAS TEAM USA
Master 3,Male,Brown,Medium-Heavy,1,Christopher Lewter,GRACIE RALEIGH
Master 3,Male,Brown,Medium-Heavy,2,Angel Fernando Sanchez Soriano,CRAZY TEAM
Master 3,Male,Brown,Medium-Heavy,3,Aliaksandr Suhonosov,GRACIE BARRA
Master 3,Male,Brown,Medium-Heavy,3,Tyson Boring,GRACIE HUMAITA
Master 3,Male,Brown,Heavy,1,José Rinaldo Gomes Da Silva,ATOS JIU-JITSU
Master 3,Male,Brown,Heavy,2,Edelen Parker,BIG BROTHERS
Master 3,Male,Brown,Heavy,3,Jamie Riedinger,CASCAO JIU-JITSU
Master 3,Male,Brown,Heavy,3,JJ Filipovic,ZENITH BJJ
Master 3,Male,Brown,Super-Heavy,1,Ramon Francho Miguel,RIBEIRO JIU-JITSU
Master 3,Male,Brown,Super-Heavy,2,Alfonso Joel Washington Jr.,TEAM LLOYD IRVIN
Master 3,Male,Brown,Super-Heavy,3,Eric Willians,GRACIE ELITE TEAM
Master 3,Male,Brown,Super-Heavy,3,Ronald Hicks,BIG BROTHERS
Master 3,Male,Brown,Ultra-Heavy,1,Casey S. Lamb,TEAM ROBSON MOURA
Master 3,Male,Brown,Ultra-Heavy,2,John McCowen,RIBEIRO JIU-JITSU
Master 3,Male,Brown,Ultra-Heavy,3,Erkhembayar Gunaajav,MONGOLIAN BJJ
Master 3,Male,Brown,Ultra-Heavy,3,Stephen Heaven,FIGHT SPORTS
Master 3,Male,Brown,Open Class,1,José Rinaldo Gomes Da Silva,ATOS JIU-JITSU
Master 3,Male,Brown,Open Class,2,Eric Willians,GRACIE ELITE TEAM
Master 3,Male,Brown,Open Class,3,Aleksandr Jones,ALLIANCE
Master 3,Male,Brown,Open Class,3,Edelen Parker,BIG BROTHERS
Master 3,Female,Brown,Light-Feather,1,Annette Jung-in Lee,NEW ZEALAND TOP TEAM
Master 3,Female,Brown,Light-Feather,2,Fabiana Takatsu,BARBOSA JIU-JITSU
Master 3,Female,Brown,Light-Feather,3,Glenda L Ramos-Rivera,RIBEIRO JIU-JITSU
Master 3,Female,Brown,Light-Feather,3,Hazel Capalad,SABRE JIU-JITSU ACADEMY
Master 3,Female,Brown,Feather,1,Claudia Cardona,RENATO TAVARES ASSOCIATION
Master 3,Female,Brown,Feather,2,Jane Lorraine Minondo,JIU-JITSU FOR LIFE TEAM
Master 3,Female,Brown,Feather,3,Erica Grosjean,CHECKMAT
Master 3,Female,Brown,Feather,3,Stefanie Teresa Wallace,CHECKMAT
Master 3,Female,Brown,Light,1,Terrie Schauer,HOMA BJJ
Master 3,Female,Brown,Light,2,Heidi Thompson,NOVA UNIÃO
Master 3,Female,Brown,Light,3,Gina Sanchez,AVIV JIU-JITSU
Master 3,Female,Brown,Light,3,Kendra Maire Sheldon Lay,ZENITH BJJ - LAS VEGAS
Master 3,Female,Brown,Middle,1,Sharicka Long-O'Neill,RIBEIRO JIU-JITSU
Master 3,Female,Brown,Middle,2,Marci Zavala,ATOS JIU-JITSU
Master 3,Female,Brown,Middle,3,Terri Kuiland,GF TEAM
Master 3,Female,Brown,Medium-Heavy,1,Olena Litovsky,UNIFIED JIU JITSU
Master 3,Female,Brown,Medium-Heavy,2,Maryellen Sinclair,SOUL FIGHTERS BJJ
Master 3,Female,Brown,Heavy,1,Samantha Freitas,R1NG BJJ
Master 3,Female,Brown,Heavy,2,Christine Ahola,PACIFIC TOP TEAM
Master 3,Female,Brown,Super-Heavy,1,Ginger K. Hines,BRASA CTA
Master 3,Female,Brown,Super-Heavy,2,Heather R Hart,BALANCE
Master 3,Female,Brown,Super-Heavy,3,Annemieke DeMaggio,RIBEIRO JIU-JITSU
Master 3,Female,Brown,Super-Heavy,3,Erica Kutnick,KORE BJJ & MMA
Master 3,Female,Brown,Open Class,1,Samantha Freitas,R1NG BJJ
Master 3,Female,Brown,Open Class,2,Sharicka Long-O'Neill,RIBEIRO JIU-JITSU
Master 3,Female,Brown,Open Class,3,Jane Lorraine Minondo,JIU-JITSU FOR LIFE TEAM
Master 3,Female,Brown,Open Class,3,Olena Litovsky,UNIFIED JIU JITSU
Master 3,Male,Black,Rooster,1,Andre Luiz Cecilio Roriz Pontes,RIBEIRO JIU-JITSU
Master 3,Male,Black,Rooster,2,Luis Ignacio Reyes,JEAN JACQUES MACHADO BJJ
Master 3,Male,Black,Rooster,3,Makoto Sawada,DRAGON'S DEN
Master 3,Male,Black,Rooster,3,Scott R. Green,FENIX BJJ WOBURN
Master 3,Male,Black,Light-Feather,1,Márcio Roberto Pereira Carvalho,BRUNO BOMBA TEAM
Master 3,Male,Black,Light-Feather,2,Kohei Nishibayashi,PATO STUDIO
Master 3,Male,Black,Light-Feather,3,Akira Kibe,SPLASH
Master 3,Male,Black,Light-Feather,3,Ichiro Kaneko,SHRAPNEL JIU-JITSU ACADEMY
Master 3,Male,Black,Feather,1,Vugner Amador da Silva,NOVA UNIÃO
Master 3,Male,Black,Feather,2,Daniel V. Alvarez Jr.,LEAD BJJ
Master 3,Male,Black,Feather,3,Anderson Pereira da Silva Breder,ICON JIU-JITSU TEAM
Master 3,Male,Black,Feather,3,Murillo Carvalho da Silva Neto,GRACIE BARRA
Master 3,Male,Black,Light,1,Cássio Rios Werneck,CASSIO WERNECK BJJ
Master 3,Male,Black,Light,2,Alexandre Concieiro Pimentel,ELITE FORCE BJJ
Master 3,Male,Black,Light,3,Hirokazu Takamoto,TAKAMOTO DOJO
Master 3,Male,Black,Light,3,Suyan Lopes Queiroz,CARLSON GRACIE TEAM
Master 3,Male,Black,Middle,1,Adriano Ferreira de Araujo e Silva,BARBOSA JIU-JITSU
Master 3,Male,Black,Middle,2,Leonardo Souza Melo,KMR BJJ KIMURA
Master 3,Male,Black,Middle,3,Marcelo Santos Azevedo,GRACIE BARRA
Master 3,Male,Black,Middle,3,Mark J. Vives,TAC TEAM BJJ
Master 3,Male,Black,Medium-Heavy,1,Fabio Leopoldo e Silva Neto,R1NG BJJ
Master 3,Male,Black,Medium-Heavy,2,Delson Heleno Raimundo,R1NG BJJ
Master 3,Male,Black,Medium-Heavy,3,Eduardo Santoro de Camargo,EXCELLENCE SCHOOL OF JIU-JITSU USA
Master 3,Male,Black,Medium-Heavy,3,Ronaldo Milanesi M. Chaves,CHECKMAT
Master 3,Male,Black,Heavy,1,Cristiano Santos Lazzarini,GRACIE BARRA
Master 3,Male,Black,Heavy,2,Lucio Sergio dos Santos,LUCIO SERGIO BJJ LIFESTYLE
Master 3,Male,Black,Heavy,3,Charles Faria Correa,G13 BJJ
Master 3,Male,Black,Heavy,3,Rogério Tavares,CHECKMAT
Master 3,Male,Black,Super-Heavy,1,Viktor de Araujo K. Doria,FIGHT SPORTS
Master 3,Male,Black,Super-Heavy,2,Luke Harris,ZENITH BJJ
Master 3,Male,Black,Super-Heavy,3,Anthony Lamar Scales,NOVA UNIÃO
Master 3,Male,Black,Super-Heavy,3,Claudio Godoy,DEMIAN MAIA JIU-JITSU
Master 3,Male,Black,Ultra-Heavy,1,James Eric Foster,ONE JIU-JITSU USA
Master 3,Male,Black,Ultra-Heavy,2,Chad Fields,BRASA CTA
Master 3,Male,Black,Ultra-Heavy,3,Carlos Eduardo de Araujo Farias,BRASA CTA
Master 3,Male,Black,Ultra-Heavy,3,Scott R Morton,RODRIGO VAGHI BJJ
Master 3,Male,Black,Open Class,1,Delson Heleno Raimundo,R1NG BJJ
Master 3,Male,Black,Open Class,2,Claudio Godoy,DEMIAN MAIA JIU-JITSU
Master 3,Male,Black,Open Class,3,Alexandre Concieiro Pimentel,ELITE FORCE BJJ
Master 3,Male,Black,Open Class,3,Hirokazu Takamoto,TAKAMOTO DOJO
Master 3,Female,Black,Light-Feather,1,Melinda Fausto,NOVA UNIÃO
Master 3,Female,Black,Light-Feather,2,Christine Aldina Lang,COALITION 95
Master 3,Female,Black,Light-Feather,3,Lisa Marie Hitsman Pages,BRASA CTA
Master 3,Female,Black,Feather,1,Sandra Inacio de Melo,KMR BJJ KIMURA
Master 3,Female,Black,Feather,2,Rachel Karen Kovach,FIGHT SPORTS
Master 3,Female,Black,Feather,3,Kristen Marie Davidson,BRAZILIAN TOP TEAM
Master 3,Female,Black,Light,1,Patrícia de de Oliveira Lage,BARBOSA JIU-JITSU
Master 3,Female,Black,Light,2,Claudia Patricia Lacerda,CARLSON GRACIE TEAM
Master 3,Female,Black,Light,3,Andressa Vasconcelos de Barros Goes,GF TEAM
Master 3,Female,Black,Middle,1,Jennifer Lynn Whitcomb,JIU-JITSU FOR LIFE TEAM
Master 3,Female,Black,Middle,2,Gabriela Dolores Muller,ALLIANCE
Master 3,Female,Black,Middle,3,Jennifer L. Russell,OCBJJ
Master 3,Female,Black,Heavy,1,Francisca Sofía Florás Guerraty,CICERO COSTHA INTERNACIONAL
Master 3,Female,Black,Heavy,2,Leticia Seguetto Tanabe Lalli,CHECKMAT
Master 3,Female,Black,Heavy,3,Leah Rae Mancillas,BJJ REVOLUTION TEAM
Master 3,Female,Black,Super-Heavy,1,Luana Beatriz Gomes Fiquene,RIBEIRO JIU-JITSU
Master 3,Female,Black,Open Class,1,Leticia Seguetto Tanabe Lalli,CHECKMAT
Master 3,Female,Black,Open Class,2,Luana Beatriz Gomes Fiquene,RIBEIRO JIU-JITSU
Master 3,Female,Black,Open Class,3,Jennifer Lynn Whitcomb,JIU-JITSU FOR LIFE TEAM
Master 4,Male,Blue,Rooster,1,Rick Miller,JOVANY VARELA COMPETITION TEAM
Master 4,Male,Blue,Rooster,2,Rick Llanes Quindipan,ZENITH BJJ
Master 4,Male,Blue,Light-Feather,1,Hiram Martin Cruz,LULA FAMILY BRAZILIAN JIU-JITSU
Master 4,Male,Blue,Light-Feather,2,Jonas Joaquin Robledo,ALLIANCE
Master 4,Male,Blue,Light-Feather,3,Adam le,CASCAO JIU-JITSU
Master 4,Male,Blue,Light-Feather,3,Gustavo Cabagna,MALLORCA BJJ
Master 4,Male,Blue,Feather,1,Del Boykin,SAS TEAM
Master 4,Male,Blue,Feather,2,Isaac Whitney Bonds,BRASA CTA
Master 4,Male,Blue,Feather,3,Jeffrey Richard,GRACIE ELITE TEAM
Master 4,Male,Blue,Feather,3,Rafael Velasquez,IMPACT JIU JITSU
Master 4,Male,Blue,Light,1,Jimmy Park,GRACIE ELITE TEAM
Master 4,Male,Blue,Light,2,Ken Dixon,ONE JIU-JITSU USA
Master 4,Male,Blue,Light,3,Johnny Saadeh,HAYASTAN MMA
Master 4,Male,Blue,Light,3,Todd Eric Nordstrom,CAVEIRINHA JIU-JITSU FAMILY USA
Master 4,Male,Blue,Middle,1,Ernesto Espinoza,BUCKHEAD JIU-JITSU
Master 4,Male,Blue,Middle,2,Leopoldo Calderon Peralta,CHECKMAT
Master 4,Male,Blue,Middle,3,John Byrne,ATOS JIU-JITSU
Master 4,Male,Blue,Middle,3,Kevin Cuccinelli,CARLSON GRACIE TEAM
Master 4,Male,Blue,Medium-Heavy,1,Eric Walts,R1NG BJJ
Master 4,Male,Blue,Medium-Heavy,2,Edward Acevedo,LEAD BJJ
Master 4,Male,Blue,Medium-Heavy,3,Devin Dallaire,TAC TEAM BJJ
Master 4,Male,Blue,Medium-Heavy,3,Jason Mitchler,PRIME JIU-JITSU CENTER
Master 4,Male,Blue,Heavy,1,Alex Almeida Cavalcante da Silva,DRILL BJJ
Master 4,Male,Blue,Heavy,2,Jacek Windak,UFLACKER ACADEMY
Master 4,Male,Blue,Heavy,3,Erik Thor Bartkowiak,FUTURE SCHOOL OF JIU-JITSU
Master 4,Male,Blue,Heavy,3,Timothy Brian Slate,BJJ REVOLUTION TEAM
Master 4,Male,Blue,Super-Heavy,1,James R. Schafer,MOHLER JIU-JITSU
Master 4,Male,Blue,Super-Heavy,2,Gerald Thomas Having,GRACIE BARRA
Master 4,Male,Blue,Super-Heavy,3,Cory Barton,MCVICKER'S BRAZILIAN JIU JITSU
Master 4,Male,Blue,Super-Heavy,3,Shad Christopher Schutte,LEAD BJJ
Master 4,Male,Blue,Ultra-Heavy,1,Jon Edwards,RODRIGO VAGHI BJJ
Master 4,Male,Blue,Ultra-Heavy,2,Bradley Timothy Harris,ACTION & REACTION MMA TORONTO
Master 4,Male,Blue,Ultra-Heavy,3,Jean-Paul Villont,KIOTO BJJ - SAYVILLE
Master 4,Male,Blue,Ultra-Heavy,3,Paulo Henrique Brito,ROCIAN GRACIE JUNIOR DE JIU-JITSU
Master 4,Male,Blue,Open Class,1,Devin Dallaire,TAC TEAM BJJ
Master 4,Male,Blue,Open Class,2,Jeffrey Richard,GRACIE ELITE TEAM
Master 4,Male,Blue,Open Class,3,Gerald Thomas Having,GRACIE BARRA
Master 4,Male,Blue,Open Class,3,Gustavo Cabagna,MALLORCA BJJ
Master 4,Female,Blue,Rooster,1,wai ping cheung,LEAD BJJ
Master 4,Female,Blue,Rooster,2,Jenny Bernice Pomeroy,KRONOS BJJ
Master 4,Female,Blue,Rooster,3,Maria Gretel Glicelina Tomita,GRAPPLING UNLIMITED
Master 4,Female,Blue,Rooster,3,Patricia Montenegro,COACHELLA VALLEY BJJ
Master 4,Female,Blue,Light-Feather,1,Sonya m Gardenhire,TEAM JUCÃO
Master 4,Female,Blue,Light-Feather,2,Tessa Burrows,JIU-JITSU FOR LIFE TEAM
Master 4,Female,Blue,Light-Feather,3,Linda Chavez,ARES BJJ
Master 4,Female,Blue,Feather,1,Jennifer Cox,GRACIE BARRA
Master 4,Female,Blue,Feather,2,Isabel Cristina Berrios,JP - BJJ - ELIZONDO
Master 4,Female,Blue,Feather,3,Galina Buckhout,ALLIANCE
Master 4,Female,Blue,Feather,3,Heather Marie Murray,GF TEAM
Master 4,Female,Blue,Light,1,Joanna Shama,WARRIOR MMA & JIU JITSU
Master 4,Female,Blue,Light,2,Kahealani Randi Mae Freitas,CAVEIRINHA JIU-JITSU FAMILY USA
Master 4,Female,Blue,Light,3,Jacqueline Shannon Heron,ALLIANCE
Master 4,Female,Blue,Light,3,Lisa Anne Shackelford,SOUL FIGHTERS BJJ
Master 4,Female,Blue,Middle,1,LuAnn B Younes,GRACIE ALLEGIANCE
Master 4,Female,Blue,Middle,2,Maryam Hills,TUKAHA BRAZILIAN JIU JITSU
Master 4,Female,Blue,Middle,3,Rebecca Anne Blissett,GRACIE BARRA
Master 4,Female,Blue,Medium-Heavy,1,Lori Agins,GRACIE HUMAITA
Master 4,Female,Blue,Medium-Heavy,2,Christi R Foutz,GRACIE HUMAITA
Master 4,Female,Blue,Medium-Heavy,3,Catherine Roy Cabungcal,TEAM ROBSON MOURA
Master 4,Female,Blue,Medium-Heavy,3,Melinda Frandsen,UNIFIED JIU JITSU
Master 4,Female,Blue,Heavy,1,Staci Shaw,GRACIE HUMAITA
Master 4,Female,Blue,Heavy,2,Amé Tamu Flournoy,GRACIE JIU-JITSU ACADEMY
Master 4,Female,Blue,Heavy,3,Nathalie Desmonts,DE LA RIVA NANTES
Master 4,Female,Blue,Heavy,3,Nikki Cuff,WILL- MACHADO
Master 4,Female,Blue,Open Class,1,Joanna Shama,WARRIOR MMA & JIU JITSU
Master 4,Female,Blue,Open Class,2,Melinda Frandsen,UNIFIED JIU JITSU
Master 4,Female,Blue,Open Class,3,Linda Chavez,ARES BJJ
Master 4,Female,Blue,Open Class,3,Lisa Anne Shackelford,SOUL FIGHTERS BJJ
Master 4,Male,Purple,Rooster,1,Masayuki Saikubo,DRAGON'S DEN
Master 4,Male,Purple,Rooster,2,Grant Tadashi Miyashiro,ATOS JIU-JITSU
Master 4,Male,Purple,Light-Feather,1,Jaime Villar Molina,BRASA CTA
Master 4,Male,Purple,Light-Feather,2,Gregory Alan Fernandes,GRACIE BARRA
Master 4,Male,Purple,Light-Feather,3,Michael Fletcher,RUFFHOUSE
Master 4,Male,Purple,Light-Feather,3,Zoltan A. Ekk,BODY OF FOUR
Master 4,Male,Purple,Feather,1,Ali Zachary,ABU BROTHERS LAS VEGAS
Master 4,Male,Purple,Feather,2,Charles Russell,RODRIGO VAGHI BJJ
Master 4,Male,Purple,Feather,3,Andreas Guenther,HILTI BJJ IMAG BERLIN
Master 4,Male,Purple,Feather,3,Tony J. Amigleo,RIBEIRO JIU-JITSU
Master 4,Male,Purple,Light,1,Aaron Cook,ATOS JIU-JITSU
Master 4,Male,Purple,Light,2,Andrew Henry,BRASA CTA
Master 4,Male,Purple,Light,3,Rich Kim,R1NG BJJ
Master 4,Male,Purple,Light,3,Rob Bailor Howard,RODRIGO VAGHI BJJ
Master 4,Male,Purple,Middle,1,Gregory Cinelli,FENIX BJJ LOWELL
Master 4,Male,Purple,Middle,2,Chang Yeon Cho,JOHN FRANKL JIU-JITSU
Master 4,Male,Purple,Middle,3,David Yoder,ROUND TABLE BJJ
Master 4,Male,Purple,Middle,3,Ray Briones,GRACIE ELITE TEAM
Master 4,Male,Purple,Medium-Heavy,1,Donny King,MOHLER JIU-JITSU
Master 4,Male,Purple,Medium-Heavy,2,John Lightfoot,SOUL FIGHTERS BJJ
Master 4,Male,Purple,Medium-Heavy,3,Michael Jeffrey Whitener,CHARLOTTE JIU-JITSU ACADEMY
Master 4,Male,Purple,Medium-Heavy,3,Zinoviy Turanskiy,TAC TEAM BJJ
Master 4,Male,Purple,Heavy,1,Jordan Thierry,CHECKMAT
Master 4,Male,Purple,Heavy,2,Marc Drouin,SOUL FIGHTERS BJJ
Master 4,Male,Purple,Heavy,3,Robert French,CARLSON GRACIE TEAM
Master 4,Male,Purple,Heavy,3,Thomas Woods,TRUJITSU - BAKERSFIELD
Master 4,Male,Purple,Super-Heavy,1,Oleg Vasilyev,INGLORIOUS GRAPPLERS
Master 4,Male,Purple,Super-Heavy,2,Bobby Carter,GRACIE HUMAITA
Master 4,Male,Purple,Super-Heavy,3,Alain Orozco,AMERICAN TOP TEAM
Master 4,Male,Purple,Super-Heavy,3,Gilad Haroz,TEAMPACT
Master 4,Male,Purple,Ultra-Heavy,1,Orlando Atilio Baccino,NOVA UNIÃO
Master 4,Male,Purple,Ultra-Heavy,2,Hassan Hamin Assad,GRACIE BARRA
Master 4,Male,Purple,Ultra-Heavy,3,Michael Patrick Clark,RIBEIRO JIU-JITSU
Master 4,Male,Purple,Ultra-Heavy,3,Tyrone Taylor,CARLSON GRACIE TEAM
Master 4,Male,Purple,Open Class,1,Oleg Vasilyev,INGLORIOUS GRAPPLERS
Master 4,Male,Purple,Open Class,2,John Lightfoot,SOUL FIGHTERS BJJ
Master 4,Male,Purple,Open Class,3,Hassan Hamin Assad,GRACIE BARRA
Master 4,Male,Purple,Open Class,3,Thomas Woods,TRUJITSU - BAKERSFIELD
Master 4,Female,Purple,Rooster,1,alicia marroquin,RODRIGO FREITAS BRAZILIAN JIU-JITSU
Master 4,Female,Purple,Rooster,2,Karen Teufert,JEAN JACQUES MACHADO BJJ
Master 4,Female,Purple,Light-Feather,1,Andrea Sunseri,NOVA UNIÃO
Master 4,Female,Purple,Light-Feather,2,Grace Yee,EVOLVE MMA
Master 4,Female,Purple,Light-Feather,3,April Alicia Beatty,TEAM JUCÃO
Master 4,Female,Purple,Light-Feather,3,Katrin Gunther Choate,BRASA CTA
Master 4,Female,Purple,Feather,1,January Tongay,KRONOS BJJ
Master 4,Female,Purple,Feather,2,Lourdes Cantu,BRASA CTA
Master 4,Female,Purple,Feather,3,Lena Van Asdale,GRACIE ELITE TEAM
Master 4,Female,Purple,Feather,3,Paula Te Kawa,CARLSON GRACIE TEAM
Master 4,Female,Purple,Light,1,Darla Sedlacek,HURRICANE JIU-JITSU
Master 4,Female,Purple,Light,2,Carla Barros Esposito,GF TEAM
Master 4,Female,Purple,Light,3,Dana Marie Toth,YAMASAKI ACADEMY
Master 4,Female,Purple,Light,3,Pamela Moye,THE BLACK - HWD
Master 4,Female,Purple,Middle,1,Dympna Doherty,MARCO NASCIMENTO BJJ
Master 4,Female,Purple,Middle,2,Janeen S. Jones,JIU-JITSU FOR LIFE TEAM
Master 4,Female,Purple,Middle,3,Mae Britton,ANCHORAGE BRAZILIAN JIU JITSU
Master 4,Female,Purple,Open Class,1,Darla Sedlacek,HURRICANE JIU-JITSU
Master 4,Female,Purple,Open Class,2,Pamela Moye,THE BLACK
Master 4,Female,Purple,Open Class,3,Janeen S. Jones,JIU-JITSU FOR LIFE TEAM
Master 4,Female,Purple,Open Class,3,Paula Te Kawa,CARLSON GRACIE TEAM
Master 4,Male,Brown,Rooster,1,Eric Abesames,GRACIE ELITE TEAM
Master 4,Male,Brown,Rooster,2,Wallace Hardy Bailey,TEAM ROBSON MOURA
Master 4,Male,Brown,Light-Feather,1,Jessy James Garcia,RODRIGO VAGHI BJJ
Master 4,Male,Brown,Light-Feather,2,Atsushi Misono,NEWAZA WORLD
Master 4,Male,Brown,Light-Feather,3,Jason Gavenda,MOHLER JIU-JITSU
Master 4,Male,Brown,Light-Feather,3,Jim Zaremski,GRACIE BARRA
Master 4,Male,Brown,Feather,1,Gilvan Banho Basilio,ATOS JIU-JITSU
Master 4,Male,Brown,Feather,2,Koji Iwasaki,PATO STUDIO
